regime_label,strategy,total_trades,total_pnl,win_rate,profit_factor,avg_r_multiple,median_r_multiple,avg_holding_days
bear_high_volatility,C_swing_trend_pullback,10,-84.98061087773746,0.2,0.4689418406072653,-0.37555812639856956,-0.5790409100743217,3.7
bear_high_volatility,E_breakout_vcb,1,0.3298355288766846,1.0,inf,1.601327522101757,1.601327522101757,1.0
bear_normal_volatility,C_swing_trend_pullback,8,33.083437593570466,0.375,1.4444921933418304,0.13231508853690044,-0.35743255521783246,4.375
bear_normal_volatility,E_breakout_vcb,8,29.32510326314913,0.5,1.7917198665967968,0.18958713201530458,-0.3110182466827145,5.75
bull_high_volatility,A_ETF_sector_momentum,6,223.93772780019108,0.8333333333333334,8.158355553824004,0.8661513526629626,1.1136223369125595,20.0
bull_high_volatility,B_ETF_trend_following,10,111.68093632370629,0.8,3.1996701923588122,0.3734716539850093,0.3283729360018499,16.1
bull_low_volatility,A_ETF_sector_momentum,48,244.6256354654308,0.4375,1.5800023612796295,0.1981126293738373,-0.16544357587178282,12.5625
bull_low_volatility,B_ETF_trend_following,37,-193.58107882647397,0.2702702702702703,0.5313502564768535,-0.34058243742629246,-0.7444166752475244,10.18918918918919
bull_low_volatility,E_breakout_vcb,4,-32.598478245082774,0.0,0.0,-1.027703940857974,-0.9085527656908579,5.0
bull_normal_volatility,A_ETF_sector_momentum,45,-95.87818835416425,0.3111111111111111,0.868492223372981,-0.16319954570264097,-0.9104484338374305,10.2
bull_normal_volatility,B_ETF_trend_following,46,525.8581012201328,0.45652173913043476,2.614047798744952,0.5383314564407783,-0.1453417033089667,20.608695652173914
bull_normal_volatility,E_breakout_vcb,1,0.21617777581796466,1.0,inf,1.9868263027789443,1.9868263027789443,5.0
sideways_high_volatility,A_ETF_sector_momentum,12,-51.58424105928156,0.25,0.19834781505406787,-0.4510602624169902,-0.3716462787904415,11.5
sideways_high_volatility,B_ETF_trend_following,12,-33.763112621973036,0.5,0.7375592128325175,0.09042189884518481,-0.21809131383765432,15.833333333333334
sideways_high_volatility,D_mean_reversion,8,0.6770822847748583,0.25,1.0259078900086966,-0.32881023594748904,-0.2957850041904184,1.875
sideways_low_volatility,A_ETF_sector_momentum,4,150.34628717040846,0.75,7.679525845366052,2.55835516919346,3.1360578540143873,37.0
sideways_low_volatility,B_ETF_trend_following,5,39.15407157297286,0.4,1.7782180469299205,-0.009742928838177534,-0.931696267396785,16.4
sideways_low_volatility,D_mean_reversion,2,-35.36303101671653,0.0,0.0,-0.589383850278609,-0.589383850278609,1.5
sideways_low_volatility,E_breakout_vcb,2,-27.05992589425286,0.0,0.0,-1.102857715826562,-1.102857715826562,1.5
sideways_normal_volatility,A_ETF_sector_momentum,34,-42.91193169011558,0.35294117647058826,0.8868659253503506,0.017832529388029844,-0.382191733702656,13.088235294117647
sideways_normal_volatility,B_ETF_trend_following,38,-42.661873206335514,0.34210526315789475,0.891612508334243,-0.17431032607719266,-0.5432384199172002,12.81578947368421
sideways_normal_volatility,C_swing_trend_pullback,5,-100.52314440902529,0.0,0.0,-0.49636131354370694,-0.30054812162289946,1.8
sideways_normal_volatility,D_mean_reversion,13,-42.45528242666757,0.5384615384615384,0.579970040701244,-0.1971372052293544,0.09681363607486597,1.6153846153846154
sideways_normal_volatility,E_breakout_vcb,9,-67.69995245211496,0.2222222222222222,0.10947302070710287,0.006168270036757486,-0.5178197585654897,9.444444444444445
