experiment_id,horizon,cost_mode,rolling_method,possible_window_count,window_start,window_end,target_300_hit,target_400_hit,target_600_hit,target_900_hit,target_1200_hit,stop_hit,final_equity,worst_drawdown,component_primary_id_if_available,component_secondary_id_if_available,component_primary_contribution_if_available,component_secondary_contribution_if_available,component_bil_contribution_if_available,component_contribution_status,worst_drawdown_start_if_available,worst_drawdown_end_if_available,worst_drawdown_window_id_if_available,filter_binding_status,filter_weight_difference_days,filter_weights_identical_to_base,filter_window_total_abs_weight_difference,base_commodity_target_300_hit,incremental_300_vs_base_commodity,base_commodity_target_400_hit,incremental_400_vs_base_commodity,base_commodity_final_equity,base_commodity_worst_drawdown,base_commodity_worst_drawdown_start,base_commodity_worst_drawdown_end,drawdown_overlap_vs_base_commodity_if_available,drawdown_overlap_rate_vs_base_commodity_if_available,combo_target_300_hit,incremental_300_vs_combo,combo_target_400_hit,incremental_400_vs_combo,combo_final_equity,combo_worst_drawdown,combo_worst_drawdown_start,combo_worst_drawdown_end,drawdown_overlap_vs_combo_if_available,drawdown_overlap_rate_vs_combo_if_available,top2_target_300_hit,incremental_300_vs_top2,top2_target_400_hit,incremental_400_vs_top2,top2_final_equity,top2_worst_drawdown,top2_worst_drawdown_start,top2_worst_drawdown_end,drawdown_overlap_vs_top2_if_available,drawdown_overlap_rate_vs_top2_if_available,spy200d_target_300_hit,incremental_300_vs_spy200d,spy200d_target_400_hit,incremental_400_vs_spy200d,spy200d_final_equity,spy200d_worst_drawdown,spy200d_worst_drawdown_start,spy200d_worst_drawdown_end,drawdown_overlap_vs_spy200d_if_available,drawdown_overlap_rate_vs_spy200d_if_available,gld_target_300_hit,incremental_300_vs_gld,gld_target_400_hit,incremental_400_vs_gld,gld_final_equity,gld_worst_drawdown,gld_worst_drawdown_start,gld_worst_drawdown_end,drawdown_overlap_vs_gld_if_available,drawdown_overlap_rate_vs_gld_if_available
commodity_basket_tsmom_top2_200d_filter_v1,30,standard,deterministic_stratified_sample,5081,2006-02-06,2006-03-20,False,False,False,False,False,False,2998.5,-1.5,,,unavailable,unavailable,unavailable,not_applicable_weighted_model,2006-02-06,2006-02-07,2006-02-06_to_2006-02-07,available,0,True,0.0,False,False,False,False,2998.5,-1.5,2006-02-06,2006-02-07,True,0.0,False,False,False,False,3000.0,0.0,2006-02-06,2006-02-06,True,0.0,False,False,False,False,2998.5,-1.5,2006-02-06,2006-02-07,True,0.0,False,False,False,False,3000.0,0.0,2006-02-06,2006-02-06,True,0.0,False,False,False,False,3000.0,0.0,2006-02-06,2006-02-06,True,0.0
commodity_basket_tsmom_top2_200d_filter_v1,30,standard,deterministic_stratified_sample,5081,2007-02-28,2007-04-11,False,False,False,False,False,False,3022.114193466112,-51.89854185659078,,,unavailable,unavailable,unavailable,not_applicable_weighted_model,2007-02-28,2007-03-15,2007-02-28_to_2007-03-15,available,0,True,0.0,False,False,False,False,3022.114193466112,-51.89854185659078,2007-02-28,2007-03-15,True,0.0,False,False,False,False,3014.5143198604464,-80.71916848695992,2007-02-28,2007-03-05,True,0.0,False,False,False,False,3000.0,0.0,2007-02-28,2007-02-28,True,0.0,False,False,False,False,3000.0,0.0,2007-02-28,2007-02-28,True,0.0,False,False,False,False,3027.075742049816,-160.198685582086,2007-02-28,2007-03-05,True,0.0
commodity_basket_tsmom_top2_200d_filter_v1,30,standard,deterministic_stratified_sample,5081,2007-03-21,2007-05-02,False,False,False,False,False,False,3060.6178586364117,-43.83112520531313,,,unavailable,unavailable,unavailable,not_applicable_weighted_model,2007-03-29,2007-04-03,2007-03-29_to_2007-04-03,available,0,True,0.0,False,False,False,False,3060.6178586364117,-43.83112520531313,2007-03-29,2007-04-03,True,0.0,False,False,False,False,3019.791680712058,-45.65718103559493,2007-04-20,2007-05-02,False,0.0,False,False,False,False,3000.0,0.0,2007-03-21,2007-03-21,False,0.0,False,False,False,False,3000.0,0.0,2007-03-21,2007-03-21,False,0.0,False,False,False,False,3038.286416188688,-92.98055130315788,2007-04-20,2007-05-02,False,0.0
commodity_basket_tsmom_top2_200d_filter_v1,30,standard,deterministic_stratified_sample,5081,2007-10-11,2007-11-21,True,False,False,False,False,False,3344.5629711578817,-153.81349961413844,,,unavailable,unavailable,unavailable,not_applicable_weighted_model,2007-11-06,2007-11-13,2007-11-06_to_2007-11-13,available,0,True,0.0,True,False,False,False,3344.5629711578817,-153.81349961413844,2007-11-06,2007-11-13,True,0.0,False,True,False,False,3011.7318729741382,-157.51158761708302,2007-11-06,2007-11-19,True,0.0,False,True,False,False,3075.2171624976395,-78.8365032523584,2007-11-09,2007-11-16,True,0.0,False,True,False,False,2810.333497780541,-200.10767472510906,2007-10-31,2007-11-16,True,0.0,True,False,False,False,3221.2148563741525,-202.94952316028503,2007-11-07,2007-11-19,True,0.0
commodity_basket_tsmom_top2_200d_filter_v1,30,standard,deterministic_stratified_sample,5081,2008-10-28,2008-12-09,False,False,False,False,False,False,3000.200980690655,-16.68511918909644,,,unavailable,unavailable,unavailable,not_applicable_weighted_model,2008-11-12,2008-11-28,2008-11-12_to_2008-11-28,available,0,True,0.0,False,False,False,False,3000.200980690655,-16.68511918909644,2008-11-12,2008-11-28,True,0.0,False,False,False,False,3058.8660883871107,-126.29755468917665,2008-11-24,2008-12-05,True,0.0,False,False,False,False,3272.559702775977,-58.777619449085705,2008-11-20,2008-11-24,True,0.0,False,False,False,False,3000.200980690655,-16.68511918909644,2008-11-12,2008-11-28,True,0.0,False,False,False,False,3103.2660611470264,-259.79158177642785,2008-11-24,2008-12-05,True,0.0
commodity_basket_tsmom_top2_200d_filter_v1,30,standard,deterministic_stratified_sample,5081,2008-10-29,2008-12-10,False,False,False,False,False,False,3005.433630071634,-16.703289333348494,,,unavailable,unavailable,unavailable,not_applicable_weighted_model,2008-11-12,2008-11-28,2008-11-12_to_2008-11-28,available,0,True,0.0,False,False,False,False,3005.433630071634,-16.703289333348494,2008-11-12,2008-11-28,True,0.0,False,False,False,False,3125.6462491743246,-126.18663138380452,2008-11-24,2008-12-05,True,0.0,False,False,False,False,3264.70535370762,-58.69155961969227,2008-11-20,2008-11-24,True,0.0,False,False,False,False,3005.433630071634,-16.703289333348494,2008-11-12,2008-11-28,True,0.0,False,False,False,False,3233.108108108109,-259.05433860984886,2008-11-24,2008-12-05,True,0.0
commodity_basket_tsmom_top2_200d_filter_v1,30,standard,deterministic_stratified_sample,5081,2008-10-30,2008-12-11,False,False,False,False,False,False,3007.065970870972,-16.681483695737825,,,unavailable,unavailable,unavailable,not_applicable_weighted_model,2008-11-12,2008-11-28,2008-11-12_to_2008-11-28,available,0,True,0.0,False,False,False,False,3007.065970870972,-16.681483695737825,2008-11-12,2008-11-28,True,0.0,False,False,False,False,3171.7486143178426,-127.21229762153598,2008-11-24,2008-12-05,True,0.0,True,False,False,False,3309.8098912015844,-59.144740753749375,2008-11-20,2008-11-24,True,0.0,False,False,False,False,3007.065970870972,-16.681483695737825,2008-11-12,2008-11-28,True,0.0,True,False,False,False,3327.602910523286,-263.65040982681967,2008-11-24,2008-12-05,True,0.0
commodity_basket_tsmom_top2_200d_filter_v1,30,standard,deterministic_stratified_sample,5081,2008-10-31,2008-12-12,False,False,False,False,False,False,3002.815870154374,-16.69965283041347,,,unavailable,unavailable,unavailable,not_applicable_weighted_model,2008-11-12,2008-11-28,2008-11-12_to_2008-11-28,available,0,True,0.0,False,False,False,False,3002.815870154374,-16.69965283041347,2008-11-12,2008-11-28,True,0.0,False,False,False,False,3202.8466882542953,-128.49272815453696,2008-11-24,2008-12-05,True,0.0,True,False,False,False,3325.862627133318,-59.26582845683288,2008-11-20,2008-11-24,True,0.0,False,False,False,False,3002.815870154374,-16.69965283041347,2008-11-12,2008-11-28,True,0.0,True,False,True,False,3398.233881700103,-268.71351333315306,2008-11-24,2008-12-05,True,0.0
commodity_basket_tsmom_top2_200d_filter_v1,30,standard,deterministic_stratified_sample,5081,2008-11-03,2008-12-15,False,False,False,False,False,False,3003.010737552038,-16.704376789332855,,,unavailable,unavailable,unavailable,not_applicable_weighted_model,2008-11-12,2008-11-28,2008-11-12_to_2008-11-28,available,0,True,0.0,False,False,False,False,3003.010737552038,-16.704376789332855,2008-11-12,2008-11-28,True,0.0,False,False,False,False,3243.8855369543357,-128.727458780083,2008-11-24,2008-12-05,True,0.0,True,False,False,False,3327.7635834873226,-59.17122778843395,2008-11-20,2008-11-24,True,0.0,False,False,False,False,3003.010737552038,-16.704376789332855,2008-11-12,2008-11-28,True,0.0,True,False,True,False,3485.232077924125,-269.62055511304106,2008-11-24,2008-12-05,True,0.0
commodity_basket_tsmom_top2_200d_filter_v1,30,standard,deterministic_stratified_sample,5081,2008-11-05,2008-12-17,False,False,False,False,False,False,3000.395869922604,-16.689826298109438,,,unavailable,unavailable,unavailable,not_applicable_weighted_model,2008-11-12,2008-11-28,2008-11-12_to_2008-11-28,available,0,True,0.0,False,False,False,False,3000.395869922604,-16.689826298109438,2008-11-12,2008-11-28,True,0.0,False,False,False,False,3257.092479904616,-127.08293585496631,2008-11-24,2008-12-05,True,0.0,True,False,False,False,3345.6270840960774,-58.16330620140252,2008-11-20,2008-11-24,True,0.0,False,False,False,False,3000.395869922604,-16.689826298109438,2008-11-12,2008-11-28,True,0.0,True,False,True,False,3520.4668979658654,-263.32445403195607,2008-11-24,2008-12-05,True,0.0
commodity_basket_tsmom_top2_200d_filter_v1,30,standard,deterministic_stratified_sample,5081,2008-11-06,2008-12-18,False,False,False,False,False,False,2993.8646898641937,-16.664401901740803,,,unavailable,unavailable,unavailable,not_applicable_weighted_model,2008-11-12,2008-11-28,2008-11-12_to_2008-11-28,available,0,True,0.0,False,False,False,False,2993.8646898641937,-16.664401901740803,2008-11-12,2008-11-28,True,0.0,False,False,False,False,3236.7130559083307,-127.49355349395319,2008-11-24,2008-12-05,True,0.0,True,False,False,False,3378.4526985589328,-58.33986162989004,2008-11-20,2008-11-24,True,0.0,False,False,False,False,2993.8646898641937,-16.664401901740803,2008-11-12,2008-11-28,True,0.0,True,False,True,False,3483.938022526889,-265.4392236652784,2008-11-24,2008-12-05,True,0.0
commodity_basket_tsmom_top2_200d_filter_v1,30,standard,deterministic_stratified_sample,5081,2009-06-17,2009-07-29,False,False,False,False,False,False,2957.6889031237447,-122.9613592104356,,,unavailable,unavailable,unavailable,not_applicable_weighted_model,2009-06-17,2009-07-10,2009-06-17_to_2009-07-10,available,30,False,30.0,False,False,False,False,2827.825982601265,-321.9191220260859,2009-06-18,2009-07-10,True,0.0,False,False,False,False,3088.9020526546888,-121.93093167575898,2009-06-29,2009-07-08,True,0.0,False,False,False,False,3088.9020526546883,-121.93093167575853,2009-06-29,2009-07-08,True,0.0,False,False,False,False,3217.9653359806607,-156.20227338506538,2009-06-29,2009-07-10,True,0.0,False,False,False,False,2962.6420721749832,-101.3536371889495,2009-07-01,2009-07-08,True,0.0
commodity_basket_tsmom_top2_200d_filter_v1,30,standard,deterministic_stratified_sample,5081,2011-02-22,2011-04-04,False,False,False,False,False,False,3245.7427159678223,-215.52593531305502,,,unavailable,unavailable,unavailable,not_applicable_weighted_model,2011-03-04,2011-03-15,2011-03-04_to_2011-03-15,available,24,False,24.0,False,False,False,False,3202.3845402337233,-233.97142734999034,2011-03-04,2011-03-15,True,1.0,False,False,False,False,3063.5413682606268,-107.57577184323827,2011-03-08,2011-03-16,True,0.0,False,False,False,False,3063.541368260626,-107.57577184323873,2011-03-08,2011-03-16,True,0.0,False,False,False,False,3045.7161136717787,-165.89543253047032,2011-03-03,2011-03-16,True,0.5,False,False,False,False,3078.1422678106237,-83.42490585150972,2011-03-01,2011-03-16,True,0.0
commodity_basket_tsmom_top2_200d_filter_v1,30,standard,deterministic_stratified_sample,5081,2011-11-09,2011-12-21,False,False,False,False,False,False,2999.9999999999986,-10.14265320207096,,,unavailable,unavailable,unavailable,not_applicable_weighted_model,2011-11-10,2011-12-15,2011-11-10_to_2011-12-15,available,0,True,0.0,False,False,False,False,2999.9999999999986,-10.14265320207096,2011-11-10,2011-12-15,True,0.0,False,False,False,False,2798.7326320131974,-260.18812653382383,2011-11-11,2011-12-15,True,0.0,False,False,False,False,2875.0933608459745,-169.0525074968823,2011-11-14,2011-12-15,True,0.0,False,False,False,False,2854.7772261405726,-152.33365891131643,2011-11-10,2011-12-15,True,0.0,False,False,False,False,2740.0476022410653,-377.11403432540146,2011-11-11,2011-12-15,True,0.0
