variant_name,slippage_label,horizon_trading_days,start_date,end_date,final_equity,total_return,max_equity,min_equity,max_drawdown_dollars,max_drawdown_pct,target_300_hit,target_300_before_any_stop,target_300_first_date,target_300_trading_days,target_400_hit,target_400_before_any_stop,target_400_first_date,target_400_trading_days,absolute_floor_stop_hit,trailing_drawdown_stop_hit,any_project_stop_hit,first_project_stop_date,first_project_stop_type,number_of_trades,number_of_skipped_signals,strategies_killed,best_strategy_by_pnl,worst_strategy_by_pnl,ending_open_positions_count,possible_window_count,window_sampling_method
evidence_dual_momentum_taa,standard,90,2008-01-03,2008-05-12,2936.6359170113383,-0.02112136099622053,3000.0,2894.1159927982717,-105.88400720172831,-0.03529466906724277,False,False,,,False,False,,,False,False,False,,,8,0,,N1_dual_momentum_taa,N1_dual_momentum_taa,0,4541,deterministic_stratified_sample
evidence_dual_momentum_taa,standard,90,2008-01-16,2008-05-23,2990.312602309686,-0.003229132563437931,3002.826369495474,2894.1159927982717,-105.88400720172831,-0.03529466906724277,False,False,,,False,False,,,False,False,False,,,8,0,,N1_dual_momentum_taa,N1_dual_momentum_taa,0,4541,deterministic_stratified_sample
evidence_dual_momentum_taa,standard,90,2008-01-22,2008-05-29,2913.3508559713546,-0.02888304800954844,3002.826369495474,2894.1159927982717,-105.88400720172831,-0.03529466906724277,False,False,,,False,False,,,False,False,False,,,8,0,,N1_dual_momentum_taa,N1_dual_momentum_taa,0,4541,deterministic_stratified_sample
evidence_dual_momentum_taa,standard,90,2008-01-30,2008-06-06,2939.4933122475186,-0.020168895917493823,3002.826369495474,2894.1159927982717,-108.2245141419171,-0.03604088309644782,False,False,,,False,False,,,False,False,False,,,10,0,,N1_dual_momentum_taa,N1_dual_momentum_taa,0,4541,deterministic_stratified_sample
evidence_dual_momentum_taa,standard,90,2008-02-07,2008-06-16,2909.1489018866346,-0.030283699371121853,3051.5935245277888,2907.157704711096,-144.43581981669286,-0.047331277463974586,False,False,,,False,False,,,False,False,False,,,8,0,,N1_dual_momentum_taa,N1_dual_momentum_taa,0,4541,deterministic_stratified_sample
evidence_dual_momentum_taa,standard,90,2008-02-12,2008-06-19,2909.1489018866346,-0.030283699371121853,3051.5935245277888,2907.157704711096,-144.43581981669286,-0.047331277463974586,False,False,,,False,False,,,False,False,False,,,8,0,,N1_dual_momentum_taa,N1_dual_momentum_taa,0,4541,deterministic_stratified_sample
evidence_dual_momentum_taa,standard,90,2008-02-26,2008-07-02,2911.668064368244,-0.02944397854391867,3051.5935245277888,2902.480888308557,-149.11263621923172,-0.04886385916758218,False,False,,,False,False,,,False,False,False,,,10,0,,N1_dual_momentum_taa,N1_dual_momentum_taa,0,4541,deterministic_stratified_sample
evidence_dual_momentum_taa,standard,90,2008-03-10,2008-07-16,2948.2621309916913,-0.01724595633610293,3069.493594854953,2908.3170080466934,-161.17658680825934,-0.05250917841249825,False,False,,,False,False,,,False,False,False,,,8,0,,N1_dual_momentum_taa,N1_dual_momentum_taa,0,4541,deterministic_stratified_sample
evidence_dual_momentum_taa,standard,90,2008-03-13,2008-07-21,2949.9443659161225,-0.01668521136129253,3069.493594854953,2908.3170080466934,-161.17658680825934,-0.05250917841249825,False,False,,,False,False,,,False,False,False,,,8,0,,N1_dual_momentum_taa,N1_dual_momentum_taa,0,4541,deterministic_stratified_sample
evidence_dual_momentum_taa,standard,90,2008-03-19,2008-07-25,2910.3832543072353,-0.029872248564254855,3069.493594854953,2907.192137055068,-162.3014577998847,-0.05287564635154551,False,False,,,False,False,,,False,False,False,,,8,0,,N1_dual_momentum_taa,N1_dual_momentum_taa,0,4541,deterministic_stratified_sample
evidence_dual_momentum_taa,standard,90,2008-03-25,2008-07-30,2915.9690294253724,-0.02801032352487587,3069.493594854953,2907.192137055068,-162.3014577998847,-0.05287564635154551,False,False,,,False,False,,,False,False,False,,,8,0,,N1_dual_momentum_taa,N1_dual_momentum_taa,0,4541,deterministic_stratified_sample
evidence_dual_momentum_taa,standard,90,2008-04-01,2008-08-06,2907.3974619604596,-0.030867512679846776,3096.6313217497172,2898.0893496411595,-198.54197210855773,-0.064115469837841,False,False,,,False,False,,,False,False,False,,,8,0,,N1_dual_momentum_taa,N1_dual_momentum_taa,0,4541,deterministic_stratified_sample
evidence_dual_momentum_taa,standard,90,2008-04-07,2008-08-12,2920.289198175802,-0.026570267274732662,3096.6313217497172,2898.0893496411595,-198.54197210855773,-0.064115469837841,False,False,,,False,False,,,False,False,False,,,8,0,,N1_dual_momentum_taa,N1_dual_momentum_taa,0,4541,deterministic_stratified_sample
evidence_dual_momentum_taa,standard,90,2008-04-17,2008-08-22,2924.4532421007625,-0.02518225263307916,3096.6313217497172,2898.0893496411595,-198.54197210855773,-0.064115469837841,False,False,,,False,False,,,False,False,False,,,8,0,,N1_dual_momentum_taa,N1_dual_momentum_taa,0,4541,deterministic_stratified_sample
evidence_dual_momentum_taa,standard,90,2008-04-18,2008-08-25,2932.3753962259652,-0.02254153459134489,3096.6313217497172,2898.0893496411595,-198.54197210855773,-0.064115469837841,False,False,,,False,False,,,False,False,False,,,8,0,,N1_dual_momentum_taa,N1_dual_momentum_taa,0,4541,deterministic_stratified_sample
